國別地區,中文片名,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
美國,游牧人生,40,"15,122",35.67%,"3,570,778","26,268","6,235,421"
義大利,西西里恐怖故事,35,"2,031",-37.06%,"483,876","5,258","1,259,299"
中華民國,愛.殺,19,"1,724",-11.91%,"401,758","3,681","841,086"
德國,父愁者聯盟,40,"1,422",-35.33%,"320,932","3,621","830,618"
日本,前田建設奇幻營業部,30,"1,290",-22.10%,"292,320","2,946","680,864"
日本,鳴鳥不飛：Don’t stay gold,16,"1,565",-21.51%,"251,520","3,559","569,950"
日本,太陽不會動,33,"1,073",-36.99%,"238,055","2,776","622,340"
美國,老娘演很大,34,"1,048",-38.89%,"236,286","2,763","647,357"
中華民國,削瘦的靈魂,9,793,91.55%,"178,900","1,207","271,799"
南韓,孩子別哭,41,718,-22.21%,"155,949","1,641","369,238"
中華民國,動保蝙蝠俠,6,826,257.58%,"114,640","1,057","134,260"
美國,愛情瞎攪禍,19,453,-25.00%,"96,772","1,057","237,411"
法國,兩人之間,14,394,2.60%,"84,270",953,"201,642"
日本,小說之神,8,241,-45.72%,"56,578",685,"161,990"
阿根廷,聲魔入侵,10,72,-69.87%,"16,155",311,"71,998"
日本,農情蜜意,3,14,-30.00%,"3,010",34,"6,935"
美國,花漾女子,88,"3,876",-65.22%,"915,805","28,550","6,731,487"
英國,波麗萊多里鬼屋,46,"2,624",-65.84%,"611,254","21,195","4,990,223"
中華民國,揭大歡喜,71,"1,463",-57.32%,"324,636","9,584","2,188,683"
南韓,今天決定我愛你,61,"1,373",-71.03%,"318,592","12,897","3,016,618"
美國,終極異噬界,57,786,-80.21%,"171,740","9,689","2,191,546"
中華民國,尼泊爾布思議,5,837,43.32%,"116,400","1,438","194,400"
日本,間諜之妻,22,487,-71.08%,"107,617","3,784","839,582"
美國,魔坑,32,133,-92.57%,"31,870","4,433","1,038,391"
法國,我愛你，你愛她，她愛他,8,88,-79.29%,"18,770","1,118","242,211"
英國,金窩駭浪,17,48,-93.29%,"11,300","1,580","357,455"
美國,幸福剛剛好,20,42,-92.19%,"9,145","1,169","263,079"
西班牙,倒數第N次分手,2,25,-81.88%,"5,635",376,"81,254"
美國,尋龍使者：拉雅,96,"23,267",-48.07%,"5,553,888","207,757","50,439,668"
英國,噪反,74,"3,484",-68.79%,"826,560","70,597","17,022,459"
日本,淺田家！,29,"2,417",-52.46%,"577,310","21,309","5,042,673"
丹麥,醉好的時光,22,"2,151",-35.68%,"511,491","13,030","3,052,741"
中華民國,東經北緯,19,"1,348",-45.65%,"303,393","11,963","2,827,833"
日本,Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,23,385,-74.40%,"95,353","13,908","3,460,461"
美國,鬼故事收藏館,26,369,-81.89%,"83,025","12,752","2,950,138"
美國,弒樂園,5,15,-95.66%,"3,595","4,238","1,012,850"
法國,女也,2,4,-91.67%,755,552,"127,602"
日本,名偵探柯南：緋色的不在場證明,53,"2,497",-52.16%,"610,008","78,061","19,023,654"
英國,詐欺女王,53,"2,411",-62.32%,"602,347","68,853","16,825,380"
日本,銀魂 THE FINAL,50,"1,330",-59.79%,"322,285","38,896","9,326,933"
中華民國,複身犯,54,870,-69.91%,"204,783","61,530","14,525,401"
日本,夏目友人帳 特別上映版:喚石與可疑訪客,33,308,-78.66%,"72,569","22,529","5,353,098"
中華民國,伏魔殿,4,371,0.82%,"59,360","1,922","307,570"
德國,100%小狼人,17,99,-77.90%,"22,959","22,331","5,152,146"
中國大陸,刺殺小說家,11,95,-80.65%,"22,810","15,719","3,782,369"
日本,澪之料理帖,1,89,-3.26%,"20,870","1,576","323,060"
日本,晨曦將至,3,41,-50.00%,"7,210","2,138","452,992"
德國,竊聽風暴,1,30,-81.71%,"6,920","3,327","730,819"
西班牙,我的母親 經典數位修復,1,10,-91.60%,"1,820","2,011","430,859"
美國,末日終結戰,3,3,-95.65%,510,"18,406","4,418,901"
中華民國,洞兩洞六,1,22,-97.04%,"3,520","2,026","323,820"
美國,迴路追殺令,3,8,-90.12%,"2,060","38,467","9,141,951"
日本,STAND BY ME 哆啦A夢2,34,782,-59.84%,"182,048","166,925","40,937,748"
中華民國,我沒有談的那場戀愛,29,506,-68.73%,"124,246","158,471","37,891,882"
新加坡,男兒王,6,338,259.57%,"27,025","14,965","3,397,477"
英國,偷天行動,3,231,670.00%,"25,350","8,582","2,010,355"
美國,湯姆貓與傑利鼠,5,15,-89.93%,"3,635","119,554","28,163,503"
匈牙利,銀龍出任務,1,2,0.00%,420,"16,355","3,786,051"
中華民國,跟你老婆去旅行,1,2,-81.82%,410,"55,382","13,070,665"
中華民國,角頭－浪流連,80,"3,511",-63.13%,"820,390","681,483","161,328,172"
英國,大鼻子情聖,1,67,-41.74%,"45,520",685,"466,360"
中華民國,緝魂,16,209,-73.17%,"48,738","212,842","50,629,539"
美國,幽靈戰場,6,398,20.97%,"36,945","2,436","441,184"
俄羅斯,海豚總動員,3,108,350.00%,"12,780","10,517","2,298,193"
伊朗,無邪,2,30,-23.08%,"3,960","3,464","756,956"
日本,龍貓,2,5,-90.38%,"1,100","52,379","12,389,003"
美國,細物警探,3,247,0.00%,"14,340","45,827","10,745,497"
中華民國,聽見臺灣,4,216,-44.04%,"42,595","2,349","492,070"
西班牙,她們玩到掛,1,22,-65.08%,"3,180",887,"175,175"
日本,喬瑟與虎與魚群動畫版,3,43,-64.75%,"10,120","83,981","20,459,441"
日本,《屁屁偵探：咖哩香料事件》 《屁屁偵探：瓢蟲遺跡之謎》,6,70,-50.70%,"17,384","49,613","11,588,682"
英國,戰馬,6,165,28.91%,"111,600",708,"476,000"
日本,死亡醫生的遺產-BLACK FILE-,4,244,838.46%,"19,335","10,464","2,416,067"
法國,蠢蛋告別式,3,144,46.94%,"9,065","1,628","298,940"
美國,馬德里金庫盜數90分鐘,1,22,-71.05%,"7,070","115,802","27,202,452"
美國,冰血驚魂,2,56,-67.44%,"3,020","1,643","257,295"
日本,一步一步的愛,1,20,-42.86%,"2,920",779,"165,514"
日本,凶宅怪談,1,18,-55.00%,"2,700","11,366","2,640,644"
德國,破處那件小事,2,34,-70.94%,"3,480","2,306","454,360"
日本,聖誕殺戮日,3,45,-65.91%,"2,815","3,269","640,366"
中華民國,杏林醫院,5,161,-54.90%,"16,565","128,065","29,325,106"
美國,空中謎航,2,56,-44.55%,"6,160","7,461","1,338,734"
香港,拆彈專家2,2,6,-68.42%,"1,380","385,363","91,401,244"
美國,靈魂急轉彎,17,392,-47.10%,"98,327","764,601","184,336,469"
中華民國,腿,4,318,-10.17%,"20,685","34,345","7,855,700"
美國,真愛鄰距離,2,121,157.45%,"12,020","6,548","1,373,171"
美國,神力女超人1984,7,782,-41.07%,"58,755","984,295","249,333,162"
美國,魔物獵人,6,361,-47.76%,"25,885","426,801","100,795,448"
中華民國,親愛的殺手,2,80,0.00%,"10,050","28,191","6,449,064"
中華民國,十二夜2：回到第零天,1,150,0.00%,"36,000","17,029","3,814,537"
美國,古魯家族：新石代,1,108,-68.51%,"5,400","77,952","17,202,652"
伊朗,緝毒風暴,2,35,66.67%,"4,050","3,084","609,120"
中華民國,同學麥娜絲,1,54,-44.90%,"5,160","193,630","44,870,132"
馬來西亞,你是豬,1,12,-62.50%,"1,800","8,201","1,878,108"
日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,1,6,0.00%,"1,260","103,406","24,655,528"
美國,瘋狂理髮師:倫敦首席惡魔剃刀手,1,1,100.00%,200,361,"81,676"
中華民國,孤味,1,23,-79.09%,"1,150","828,395","190,866,985"
日本,鬼滅之刃劇場版 無限列車篇,20,518,-63.73%,"144,559","2,599,237","633,837,281"
中華民國,親愛的房客,4,132,-62.61%,"9,670","164,158","38,712,262"
