中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
刺殺小說家,2021/2/26,原創娛樂股份有限公司,"抖音文化（廈門）有限公司,東方嘉影電視院線傳媒股份公司,華策影業（天津）有限公司,深圳市一怡以藝文化傳媒有限公司,郭帆文化傳媒（北京）有限公司,天津十間影視傳媒有限公司,中青新影文化傳媒（北京）有限公司,天津貓眼微影文化傳媒有限公司,廣東優創合影文化傳播股份有限公司,之升（上海）影業有限公司,融創未來文化娛樂（北京）有限公司,霍爾果斯聚合影聯文化傳媒有限公司,上海阿里巴巴影業有限公司,北京自由酷鯨影業有限公司,上海尚世影業有限公司,優酷電影有限公司",19,491,-71.67%,"117,255","15,624","3,759,559"
揭大歡喜,2021/3/12,紅色製作有限公司,紅色製作有限公司##中環國際娛樂事業股份有限公司##海鵬影業有限公司##羅特國際製作股份有限公司,79,"3,428",-26.96%,"780,009","8,121","1,864,047"
尼泊爾布思議,2021/3/12,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,584,3335.29%,"75,600",601,"78,000"
東經北緯,2021/3/5,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"緒虎製作有限公司,金騰國際傳媒股份有限公司,墨爾有限公司,德安信股份有限公司,三皇生物科技股份有限公司",23,"2,480",-49.90%,"577,051","10,615","2,524,440"
複身犯,2021/2/26,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,70,"2,891",-62.29%,"691,059","60,660","14,320,618"
伏魔殿,2021/2/26,車庫娛樂股份有限公司,王逸帆,6,368,-30.30%,"58,860","1,551","248,210"
洞兩洞六,2021/2/19,車庫娛樂股份有限公司,王逸帆,1,743,96.04%,"118,880","2,004","320,300"
我沒有談的那場戀愛,2021/2/10,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",55,"1,618",-66.93%,"383,513","157,965","37,767,636"
金不厭詐,2021/2/10,春暉映像有限公司,壹捌玖伍電影有限公司,1,62,3000.00%,"17,800","5,703","1,275,004"
跟你老婆去旅行,2021/2/10,好好看文創有限公司,"滿滿額娛樂股份有限公司,好好看文創有限公司,上環國際多媒體娛樂股份有限公司,崴森管理顧問股份有限公司,羚邦控股有限公司,華納集團,中天星辰(香港)影業有限公司",2,11,-97.74%,"2,140","55,380","13,070,255"
角頭－浪流連,2021/2/5,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",86,"9,523",-50.16%,"2,226,372","677,972","160,507,782"
緝魂,2021/1/29,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",23,779,-68.07%,"204,160","212,633","50,580,801"
聽見臺灣,2021/1/22,沃土影像製作有限公司,沃土影像製作有限公司,15,386,-22.80%,"80,945","2,133","449,475"
叱咤風雲,2021/1/16,星泰國際娛樂股份有限公司,量能文創股份有限公司##創映電影有限公司##天鵬翱翔集團有限公司,2,156,-46.39%,"37,520","135,920","31,943,679"
杏林醫院,2020/12/31,海樂影業股份有限公司,"海樂影業股份有限公司,影童國際有限公司",5,357,-14.18%,"25,645","127,904","29,308,541"
腿,2020/12/24,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,5,354,337.04%,"28,205","34,027","7,835,015"
親愛的殺手,2020/12/4,威視股份有限公司,興揚電影有限公司##滿滿額娛樂股份有限公司##海寧鐵幕真文化傳媒有限公司##華映娛樂股份有限公司##十三月股份有限公司##浙江光芒文化傳媒有限公司##海寧夢生影視文化傳媒有限公司##上海牧神文化傳媒有限公司,3,80,105.13%,"9,670","28,111","6,439,014"
同學麥娜絲,2020/11/20,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,1,98,-62.88%,"9,010","193,576","44,864,972"
孤味,2020/11/6,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,1,110,-50.23%,"5,500","828,372","190,865,835"
親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,5,353,-38.39%,"24,480","164,026","38,702,592"
