中文片名,累計銷售金額,累計銷售票數,週票數變動率,銷售票數
鬼滅之刃劇場版 無限列車篇,"634,033,776","2,600,019",-31.83%,317
哥吉拉大戰金剛,"329,996,622","1,290,057",-59.11%,"202,952"
神力女超人,"249,428,197","985,514",-37.47%,469
靈魂急轉彎,"184,429,006","764,977",-45.27%,133
角頭浪流連,"161,708,385","683,137",-80.23%,273
當男人戀愛時,"159,376,827","669,805",213.84%,"495,486"
刻在你心底的名字,"103,428,310","441,627",0.00%,34
拆彈專家,"91,603,279","387,890",12.17%,"1,336"
尋龍使者拉雅,"58,872,196","243,366",-46.18%,"12,459"
STAND BY ME哆啦A夢,"41,179,918","167,957",-38.50%,393
親愛的房客,"38,724,142","164,266",-69.88%,25
我沒有談的那場戀愛,"37,910,818","158,551",-87.32%,9
杏林醫院,"29,337,286","128,164",-83.53%,14
紫羅蘭永恆花園電影版,"27,700,324","110,910",-97.52%,10
馬德里金庫盜數分鐘,"27,340,762","117,756",39.46%,"1,138"
無名弒,"20,052,440","85,485",-16.16%,"38,985"
噪反,"17,257,216","71,613",-89.20%,99
古魯家族：新石代,"17,228,282","78,413",-51.77%,150
詐欺女王,"17,053,262","69,763",-92.94%,60
複身犯,"14,576,088","61,742",-74.56%,43
跟你老婆去旅行,"13,075,995","55,429",0.00%,47
