"年月","業者名稱","4G數據傳輸量（GBytes）","用戶數","平均每一用戶4G數據傳輸量（GBytes）"
"110/1","中華電信股份有限公司","236,072,791 ","10,546,350 ","22.38 "
"110/1","亞太電信股份有限公司","26,537,773 ","2,041,783 ","13.00 "
"110/1","台灣之星股份有限公司","74,239,453 ","2,549,027 ","29.12 "
"110/1","遠傳電信股份有限公司","195,821,349 ","7,064,440 ","27.72 "
"110/1","台灣大哥大股份有限公司","184,754,050 ","7,115,023 ","25.97 "
"109/12","台灣之星股份有限公司","72,486,318 ","2,541,331 ","28.52 "
"109/12","亞太電信股份有限公司","25,271,721 ","2,025,843 ","12.47 "
"109/12","遠傳電信股份有限公司","195,000,837 ","7,069,489 ","27.58 "
"109/12","中華電信股份有限公司","230,303,304 ","10,527,239 ","21.88 "
"109/12","台灣大哥大股份有限公司","184,405,885 ","7,124,929 ","25.88 "
"109/11","中華電信股份有限公司","232,875,420 ","10,535,492 ","22.10 "
"109/11","台灣大哥大股份有限公司","179,520,286 ","7,112,732 ","25.24 "
"109/11","台灣之星股份有限公司","69,281,773 ","2,503,486 ","27.67 "
"109/11","遠傳電信股份有限公司","189,253,223 ","7,087,424 ","26.70 "
"109/11","亞太電信股份有限公司","24,888,852 ","2,033,157 ","12.24 "
"109/10","亞太電信股份有限公司","25,337,290 ","2,036,402 ","12.44 "
"109/10","遠傳電信股份有限公司","191,287,688 ","7,067,975 ","27.06 "
"109/10","台灣之星股份有限公司","67,285,334 ","2,463,832 ","27.31 "
"109/10","中華電信股份有限公司","223,162,274 ","10,572,834 ","21.11 "
"109/10","台灣大哥大股份有限公司","174,638,050 ","7,111,067 ","24.56 "
"109/9","亞太電信股份有限公司","24,104,213 ","2,036,092 ","11.84 "
"109/9","台灣大哥大股份有限公司","174,679,156 ","7,096,980 ","24.61 "
"109/9","台灣之星股份有限公司","68,550,576 ","2,438,502 ","28.11 "
"109/9","中華電信股份有限公司","233,391,160 ","10,576,788 ","22.07 "
"109/9","遠傳電信股份有限公司","182,699,752 ","7,058,438 ","25.88 "
"109/8","中華電信股份有限公司","226,478,228 ","10,555,342 ","21.46 "
"109/8","遠傳電信股份有限公司","193,979,737 ","7,050,283 ","27.51 "
"109/8","亞太電信股份有限公司","26,366,630 ","2,035,230 ","12.96 "
"109/8","台灣大哥大股份有限公司","184,993,310 ","7,089,905 ","26.09 "
"109/8","台灣之星股份有限公司","69,434,409 ","2,425,267 ","28.63 "
"109/7","台灣大哥大股份有限公司","177,869,705 ","7,096,154 ","25.07 "
"109/7","亞太電信股份有限公司","25,120,068 ","2,032,720 ","12.36 "
"109/7","中華電信股份有限公司","206,262,089 ","10,526,008 ","19.60 "
"109/7","台灣之星股份有限公司","67,630,150 ","2,423,875 ","27.90 "
"109/7","遠傳電信股份有限公司","184,466,056 ","7,045,779 ","26.18 "
"109/6","台灣之星股份有限公司","59,761,783 ","2,401,717 ","24.88 "
"109/6","中華電信股份有限公司","206,329,608 ","10,495,207 ","19.66 "
"109/6","遠傳電信股份有限公司","169,567,621 ","7,051,965 ","24.05 "
"109/6","亞太電信股份有限公司","23,336,903 ","2,031,855 ","11.49 "
"109/6","台灣大哥大股份有限公司","164,305,948 ","7,094,514 ","23.16 "
"109/5","中華電信股份有限公司","199,453,542 ","10,494,008 ","19.01 "
"109/5","台灣之星股份有限公司","62,478,742 ","2,392,431 ","26.12 "
"109/5","亞太電信股份有限公司","24,278,091 ","2,031,671 ","11.95 "
"109/5","遠傳電信股份有限公司","175,502,999 ","7,052,558 ","24.89 "
"109/5","台灣大哥大股份有限公司","169,683,587 ","7,092,196 ","23.93 "
"109/4","中華電信股份有限公司","212,670,142 ","10,498,122 ","20.26 "
"109/4","遠傳電信股份有限公司","169,638,914 ","7,072,304 ","23.99 "
"109/4","台灣之星股份有限公司","61,602,861 ","2,370,759 ","25.98 "
"109/4","亞太電信股份有限公司","23,467,854 ","2,033,249 ","11.54 "
"109/4","台灣大哥大股份有限公司","164,276,022 ","7,088,063 ","23.18 "
"109/3","遠傳電信股份有限公司","180,809,685 ","7,080,576 ","25.54 "
"109/3","中華電信股份有限公司","197,957,429 ","11,014,668 ","17.97 "
"109/3","台灣之星股份有限公司","64,839,572 ","2,364,234 ","27.43 "
"109/3","亞太電信股份有限公司","24,331,212 ","2,032,180 ","11.97 "
"109/3","台灣大哥大股份有限公司","174,620,422 ","7,092,127 ","24.62 "
"109/2","遠傳電信股份有限公司","168,976,731 ","7,078,397 ","23.87 "
"109/2","台灣之星股份有限公司","62,212,232 ","2,353,986 ","26.43 "
"109/2","台灣大哥大股份有限公司","161,793,712 ","7,073,157 ","22.87 "
"109/2","中華電信股份有限公司","199,574,154 ","10,986,270 ","18.17 "
"109/2","亞太電信股份有限公司","22,922,754 ","2,031,957 ","11.28 "
"109/1","台灣之星股份有限公司","61,958,087 ","2,322,449 ","26.68 "
"109/1","亞太電信股份有限公司","22,738,713 ","2,031,953 ","11.19 "
"109/1","中華電信股份有限公司","194,003,236 ","10,652,442 ","18.21 "
"109/1","遠傳電信股份有限公司","170,347,080 ","7,083,689 ","24.05 "
"109/1","台灣大哥大股份有限公司","163,392,770 ","7,088,120 ","23.05 "
"108/12","遠傳電信股份有限公司","165,374,842 ","7,092,573 ","23.32 "
"108/12","台灣大哥大股份有限公司","159,848,700 ","7,126,817 ","22.43 "
"108/12","中華電信股份有限公司","184,395,592 ","10,649,391 ","17.32 "
"108/12","台灣之星股份有限公司","58,966,210 ","2,308,250 ","25.55 "
"108/12","亞太電信股份有限公司","21,956,303 ","2,031,449 ","10.81 "
"108/11","台灣之星股份有限公司","55,020,603 ","2,281,981 ","24.11 "
"108/11","中華電信股份有限公司","186,868,092 ","10,666,410 ","17.52 "
"108/11","亞太電信股份有限公司","21,125,949 ","2,028,949 ","10.41 "
"108/11","遠傳電信股份有限公司","158,455,106 ","7,109,883 ","22.29 "
"108/11","台灣大哥大股份有限公司","154,094,088 ","7,153,351 ","21.54 "
"108/10","遠傳電信股份有限公司","160,391,152 ","7,137,048 ","22.47 "
"108/10","亞太電信股份有限公司","21,463,698 ","2,029,034 ","10.58 "
"108/10","中華電信股份有限公司","178,325,370 ","10,659,119 ","16.73 "
